,Year,USA Precipitation (mm),AUS Precipitation (mm),Brazil Precipitation (mm)
0,1901,53.45292,36.8937,147.83461
1,1902,56.92921,27.890614,146.87148
2,1903,54.475258,43.456768,145.65738
3,1904,51.814545,39.251026,146.21407
4,1905,57.63336,30.674429,149.6171
5,1906,57.778236,39.019318,147.4343
6,1907,55.44503,39.762596,148.6139
7,1908,54.030678,39.02252,146.2173
8,1909,55.24784,36.978737,142.02567
9,1910,47.45164,43.39443,145.2339
10,1911,53.051292,35.870567,143.30193
11,1912,56.12829,32.33754,141.96117
12,1913,53.515186,39.801018,144.5592
13,1914,52.87388,36.266663,137.56192
14,1915,57.80671,32.15194,129.67046
15,1916,53.400005,42.36199,145.03726
16,1917,48.959274,45.650787,148.49002
17,1918,54.048645,38.408875,145.00023
18,1919,57.043793,32.751076,139.05269
19,1920,56.69709,38.49241,145.58664
20,1921,53.1593,43.961044,152.37277
21,1922,55.154522,36.52366,151.19772
22,1923,57.338898,34.75805,145.57762
23,1924,52.23078,36.017906,160.95828
24,1925,51.12316,37.198486,139.1102
25,1926,56.569885,34.806015,148.15628
26,1927,57.704346,35.371033,141.8534
27,1928,56.211407,33.58202,145.16101
28,1929,56.85736,34.823143,149.04523
29,1930,49.45903,38.49209,135.6496
30,1931,52.31063,36.73398,141.8843
31,1932,56.606056,33.752743,132.8289
32,1933,51.26467,36.925137,141.79079
33,1934,50.07987,37.486435,148.32364
34,1935,55.362,30.771479,147.14651
35,1936,52.92162,35.790947,135.29428
36,1937,56.740517,35.047688,149.95459
37,1938,57.289543,31.935984,142.32962
38,1939,52.94278,40.151848,142.01704
39,1940,55.88549,34.8221,146.67441
40,1941,57.247856,38.59012,137.62048
41,1942,57.35679,40.38452,137.89311
42,1943,52.09469,35.26023,147.32219
43,1944,56.319782,33.48642,142.38377
44,1945,60.548115,36.14761,155.15744
45,1946,56.654976,34.708324,139.0373
46,1947,55.1901,40.93508,154.75058
47,1948,56.924225,34.381187,147.29056
48,1949,56.010567,40.210255,147.94873
49,1950,54.850574,46.815086,146.81454
50,1951,56.685078,32.162743,135.8784
51,1952,51.041714,33.18444,140.61015
52,1953,52.58965,38.296883,147.66202
53,1954,50.675224,37.646526,141.01474
54,1955,52.75988,42.538822,149.43607
55,1956,49.690754,48.939774,156.37363
56,1957,58.326946,34.617546,145.95834
57,1958,55.317574,35.577076,141.52718
58,1959,56.429527,36.290474,141.30415
59,1960,54.735016,41.199287,144.9512
60,1961,57.870647,30.979614,139.48233
61,1962,52.584526,39.134583,144.56842
62,1963,50.060112,40.309166,132.81342
63,1964,55.153393,38.645733,156.71019
64,1965,55.38495,31.251385,146.76129
65,1966,50.894592,32.81767,145.98856
66,1967,54.793224,37.844643,143.62653
67,1968,54.03004,41.95111,144.35095
68,1969,54.479927,36.762444,139.3602
69,1970,54.864418,33.321526,143.8646
70,1971,54.77014,40.27581,147.74057
71,1972,56.81828,32.83842,147.93144
72,1973,60.56479,49.972893,157.60127
73,1974,55.67408,54.955914,159.00333
74,1975,58.509888,46.267506,152.14453
75,1976,49.638992,44.735405,146.17258
76,1977,55.48562,40.905815,148.54324
77,1978,54.657043,41.34015,148.80106
78,1979,59.322975,38.36686,145.70877
79,1980,53.343254,37.551426,145.25775
80,1981,55.81789,44.78138,141.10619
81,1982,60.58972,35.413204,148.61716
82,1983,60.77764,39.399372,139.7861
83,1984,55.853996,43.65397,149.55571
84,1985,55.766132,35.192307,160.9609
85,1986,57.650166,32.86091,145.5209
86,1987,54.40271,39.975967,136.06015
87,1988,50.389286,37.447372,146.56949
88,1989,55.43633,39.820904,158.79214
89,1990,59.143402,34.16189,136.72195
90,1991,59.32259,39.800434,141.17818
91,1992,57.899616,34.585484,141.7583
92,1993,59.0479,40.339027,140.83391
93,1994,56.417408,30.676657,149.33366
94,1995,56.049694,42.487434,148.4774
95,1996,57.798462,39.67475,154.92468
96,1997,56.68632,41.198685,149.37013
97,1998,59.57609,43.416542,145.16666
98,1999,53.858284,46.62199,149.79326
99,2000,53.88106,47.001427,164.98431
100,2001,53.62375,40.66764,144.16176
101,2002,54.528595,32.099575,150.93156
102,2003,56.213074,38.022083,142.44534
103,2004,61.518097,41.080406,151.91853
104,2005,56.341644,31.367132,151.57907
105,2006,56.55063,38.399498,155.50058
106,2007,54.279785,39.489426,145.25426
107,2008,58.170464,37.755333,158.68472
108,2009,56.836555,40.32821,159.8905
109,2010,58.305126,59.14986,150.25182
110,2011,59.187828,52.6756,154.51495
111,2012,56.28993,41.83538,139.9481
