,Year,USA Temperature (C),AUS Temperature (C),BRA Temperature (C),USA Precipitation (mm)
0,1901,6.6187487,21.357021,24.896547,53.45292
1,1902,6.4643273,21.382462,25.09181,56.92921
2,1903,6.073844,20.936884,24.896107,54.475258
3,1904,6.149883,20.791357,24.527473,51.814545
4,1905,6.599617,20.95451,24.840496,57.63336
5,1906,6.5228577,21.767315,24.773937,57.778236
6,1907,6.3265276,21.051441,24.726265,55.44503
7,1908,6.6985435,20.649048,24.891228,54.030678
8,1909,6.037902,20.812077,24.801495,55.24784
9,1910,6.572676,21.29496,24.767641,47.45164
10,1911,6.6003304,21.101551,24.702343,53.051292
11,1912,6.3779836,21.549242,24.702488,56.12829
12,1913,6.5980864,20.955944,24.747656,53.515186
13,1914,6.960702,21.891811,25.001505,52.87388
14,1915,6.8052955,21.851543,25.063795,57.80671
15,1916,6.159147,21.253654,24.573738,53.400005
16,1917,5.670571,20.515036,24.081936,48.959274
17,1918,6.3653173,21.054869,24.573418,54.048645
18,1919,6.4881067,21.498652,24.992315,57.043793
19,1920,6.0916157,20.988092,24.629692,56.69709
20,1921,7.385264,21.350399,24.334965,53.1593
21,1922,6.6565332,21.160658,24.371807,55.154522
22,1923,6.807252,21.245165,24.37411,57.338898
23,1924,6.0486555,20.847313,24.255426,52.23078
24,1925,6.9437246,20.788929,24.437939,51.12316
25,1926,7.3156495,21.53575,24.772419,56.569885
26,1927,6.5663652,21.176247,24.338501,57.704346
27,1928,6.933179,21.684956,24.549429,56.211407
28,1929,6.5713944,20.806751,24.388468,56.85736
29,1930,6.689477,21.424381,24.692787,49.45903
30,1931,7.4942217,20.98227,24.63292,52.31063
31,1932,6.477624,21.250154,24.742476,56.606056
32,1933,6.762614,21.073204,24.408184,51.26467
33,1934,7.6559515,21.18864,24.358976,50.07987
34,1935,6.7448707,21.07507,24.552368,55.362
35,1936,6.950971,21.399372,24.793364,52.92162
36,1937,6.838399,21.230488,24.749926,56.740517
37,1938,7.416555,21.782574,24.633394,57.289543
38,1939,7.1446433,21.052944,24.676409,52.94278
39,1940,7.2885513,21.318531,24.92098,55.88549
40,1941,7.365968,20.936115,25.087818,57.247856
41,1942,7.005437,21.50133,24.88943,57.35679
42,1943,6.997035,20.862316,24.662493,52.09469
43,1944,6.9751916,21.126354,24.960236,56.319782
44,1945,6.656516,21.121063,24.751871,60.548115
45,1946,7.023234,20.850689,24.82267,56.654976
46,1947,6.850766,21.157663,24.613426,55.1901
47,1948,6.3691163,21.00282,24.73713,56.924225
48,1949,6.8932548,20.56872,24.509995,56.010567
49,1950,6.6314125,20.868917,24.528568,54.850574
50,1951,6.411795,21.05676,24.488796,56.685078
51,1952,6.914982,21.036129,24.644905,51.041714
52,1953,7.4295907,21.010832,24.787127,52.58965
53,1954,7.194499,21.046041,24.857592,50.675224
54,1955,6.3436875,21.122854,24.568645,52.75988
55,1956,6.3972116,20.544973,24.290783,49.690754
56,1957,7.1971045,21.454187,24.673687,58.326946
57,1958,7.0539527,21.547884,25.121525,55.317574
58,1959,6.6787567,21.680462,24.947987,56.429527
59,1960,6.7200975,20.851427,24.629892,54.735016
60,1961,6.492202,21.552526,25.141964,57.870647
61,1962,6.9103217,21.391928,24.80534,52.584526
62,1963,7.016024,21.33833,25.217241,50.060112
63,1964,6.2749743,21.226362,24.832363,55.153393
64,1965,6.4657106,21.669321,25.042736,55.38495
65,1966,6.2815533,20.947184,25.179237,50.894592
66,1967,6.8660445,21.224976,25.035997,54.793224
67,1968,6.48026,21.03405,24.658405,54.03004
68,1969,6.7636886,21.39541,25.26417,54.479927
69,1970,6.5991926,21.310116,25.130068,54.864418
70,1971,6.234191,21.214195,24.418861,54.77014
71,1972,6.2434025,21.57492,24.88816,56.81828
72,1973,6.8392715,21.90311,25.007069,60.56479
73,1974,6.6009254,20.758308,24.396254,55.67408
74,1975,6.2090316,21.215776,24.438084,58.509888
75,1976,6.4971757,20.764523,24.39613,49.638992
76,1977,7.2084436,21.398935,24.807856,55.48562
77,1978,6.8957963,21.155218,24.677866,54.657043
78,1979,6.694786,21.765207,24.693518,59.322975
79,1980,7.066892,22.130589,24.841465,53.343254
80,1981,7.767236,21.700855,24.6487,55.81789
81,1982,6.4656076,21.449705,24.80703,60.58972
82,1983,6.9508657,21.750803,25.007809,60.77764
83,1984,6.6931024,21.048607,24.80416,55.853996
84,1985,6.547124,21.594568,24.776478,55.766132
85,1986,7.4475794,21.581608,24.891207,57.650166
86,1987,7.6064095,21.59427,25.302525,54.40271
87,1988,7.2044106,22.105854,25.050127,50.389286
88,1989,6.8280497,21.37485,24.709227,55.43633
89,1990,7.3916855,21.8711,25.069971,59.143402
90,1991,7.500322,22.043804,25.041132,59.32259
91,1992,6.967962,21.489603,24.83469,57.899616
92,1993,7.0994253,21.701008,24.955845,59.0479
93,1994,7.285927,21.643223,25.072952,56.417408
94,1995,7.419545,21.480915,25.300232,56.049694
95,1996,6.6995897,21.81751,25.046738,57.798462
