,Year,USA Temperature (C),AUS Temperature (C),BRA Temperature (C),USA Precipitation (mm),AUS Precipitation (mm),Brazil Precipitation (mm)
0,1901,6.6187487,21.357021,24.896547,53.45292,36.8937,147.83461
1,1902,6.4643273,21.382462,25.09181,56.92921,27.890614,146.87148
2,1903,6.073844,20.936884,24.896107,54.475258,43.456768,145.65738
3,1904,6.149883,20.791357,24.527473,51.814545,39.251026,146.21407
4,1905,6.599617,20.95451,24.840496,57.63336,30.674429,149.6171
5,1906,6.5228577,21.767315,24.773937,57.778236,39.019318,147.4343
6,1907,6.3265276,21.051441,24.726265,55.44503,39.762596,148.6139
7,1908,6.6985435,20.649048,24.891228,54.030678,39.02252,146.2173
8,1909,6.037902,20.812077,24.801495,55.24784,36.978737,142.02567
9,1910,6.572676,21.29496,24.767641,47.45164,43.39443,145.2339
10,1911,6.6003304,21.101551,24.702343,53.051292,35.870567,143.30193
11,1912,6.3779836,21.549242,24.702488,56.12829,32.33754,141.96117
12,1913,6.5980864,20.955944,24.747656,53.515186,39.801018,144.5592
13,1914,6.960702,21.891811,25.001505,52.87388,36.266663,137.56192
14,1915,6.8052955,21.851543,25.063795,57.80671,32.15194,129.67046
15,1916,6.159147,21.253654,24.573738,53.400005,42.36199,145.03726
16,1917,5.670571,20.515036,24.081936,48.959274,45.650787,148.49002
17,1918,6.3653173,21.054869,24.573418,54.048645,38.408875,145.00023
18,1919,6.4881067,21.498652,24.992315,57.043793,32.751076,139.05269
19,1920,6.0916157,20.988092,24.629692,56.69709,38.49241,145.58664
20,1921,7.385264,21.350399,24.334965,53.1593,43.961044,152.37277
21,1922,6.6565332,21.160658,24.371807,55.154522,36.52366,151.19772
22,1923,6.807252,21.245165,24.37411,57.338898,34.75805,145.57762
23,1924,6.0486555,20.847313,24.255426,52.23078,36.017906,160.95828
24,1925,6.9437246,20.788929,24.437939,51.12316,37.198486,139.1102
25,1926,7.3156495,21.53575,24.772419,56.569885,34.806015,148.15628
26,1927,6.5663652,21.176247,24.338501,57.704346,35.371033,141.8534
27,1928,6.933179,21.684956,24.549429,56.211407,33.58202,145.16101
28,1929,6.5713944,20.806751,24.388468,56.85736,34.823143,149.04523
29,1930,6.689477,21.424381,24.692787,49.45903,38.49209,135.6496
30,1931,7.4942217,20.98227,24.63292,52.31063,36.73398,141.8843
31,1932,6.477624,21.250154,24.742476,56.606056,33.752743,132.8289
32,1933,6.762614,21.073204,24.408184,51.26467,36.925137,141.79079
33,1934,7.6559515,21.18864,24.358976,50.07987,37.486435,148.32364
34,1935,6.7448707,21.07507,24.552368,55.362,30.771479,147.14651
35,1936,6.950971,21.399372,24.793364,52.92162,35.790947,135.29428
36,1937,6.838399,21.230488,24.749926,56.740517,35.047688,149.95459
37,1938,7.416555,21.782574,24.633394,57.289543,31.935984,142.32962
38,1939,7.1446433,21.052944,24.676409,52.94278,40.151848,142.01704
39,1940,7.2885513,21.318531,24.92098,55.88549,34.8221,146.67441
40,1941,7.365968,20.936115,25.087818,57.247856,38.59012,137.62048
41,1942,7.005437,21.50133,24.88943,57.35679,40.38452,137.89311
42,1943,6.997035,20.862316,24.662493,52.09469,35.26023,147.32219
43,1944,6.9751916,21.126354,24.960236,56.319782,33.48642,142.38377
44,1945,6.656516,21.121063,24.751871,60.548115,36.14761,155.15744
45,1946,7.023234,20.850689,24.82267,56.654976,34.708324,139.0373
46,1947,6.850766,21.157663,24.613426,55.1901,40.93508,154.75058
47,1948,6.3691163,21.00282,24.73713,56.924225,34.381187,147.29056
48,1949,6.8932548,20.56872,24.509995,56.010567,40.210255,147.94873
49,1950,6.6314125,20.868917,24.528568,54.850574,46.815086,146.81454
50,1951,6.411795,21.05676,24.488796,56.685078,32.162743,135.8784
51,1952,6.914982,21.036129,24.644905,51.041714,33.18444,140.61015
52,1953,7.4295907,21.010832,24.787127,52.58965,38.296883,147.66202
53,1954,7.194499,21.046041,24.857592,50.675224,37.646526,141.01474
